Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Visserie / boulonnerie / fixation – Réf. 82582898,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582898,,,À fournir par le client - Leroy Merlin - Réf. 82582898,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82582903,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82582903,,,À fournir par le client - Leroy Merlin - Réf. 82582903,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583002,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583002,,,À fournir par le client - Leroy Merlin - Réf. 82583002,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583003,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583003,,,À fournir par le client - Leroy Merlin - Réf. 82583003,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583004,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583004,,,À fournir par le client - Leroy Merlin - Réf. 82583004,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583006,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583006,,,À fournir par le client - Leroy Merlin - Réf. 82583006,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583007,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583007,,,À fournir par le client - Leroy Merlin - Réf. 82583007,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583010,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583010,,,À fournir par le client - Leroy Merlin - Réf. 82583010,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583017,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583017,,,À fournir par le client - Leroy Merlin - Réf. 82583017,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583019,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583019,,,À fournir par le client - Leroy Merlin - Réf. 82583019,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583021,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583021,,,À fournir par le client - Leroy Merlin - Réf. 82583021,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583029,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583029,,,À fournir par le client - Leroy Merlin - Réf. 82583029,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583030,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583030,,,À fournir par le client - Leroy Merlin - Réf. 82583030,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583031,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583031,,,À fournir par le client - Leroy Merlin - Réf. 82583031,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583034,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583034,,,À fournir par le client - Leroy Merlin - Réf. 82583034,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583036,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583036,,,À fournir par le client - Leroy Merlin - Réf. 82583036,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Visserie / boulonnerie / fixation – Réf. 82583042,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82583042,,,À fournir par le client - Leroy Merlin - Réf. 82583042,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
